,Number,Cost of Funds,Lower Limit,E-car Rate,Competition Rate,Recommended Rate,Loan Amount,Profit
0,4,1.3613,1.3613,5.15,4.89,4.081299999999985,20000.0,34399.999999999694
1,6,1.3525,1.3525,5.15,4.89,3.4224999999999985,27000.0,28889.999999999956
2,7,1.1,1.1,6.09,3.85,3.469999999999992,29999.0,41098.62999999976
3,8,1.12,1.12,3.99,3.99,3.4199999999999937,18400.0,23919.999999999884
4,10,1.8399999999999999,1.8399999999999999,8.55,4.39,3.8599999999999994,24999.0,25498.97999999999
5,13,1.3200000000000003,1.3200000000000003,4.89,4.89,4.189999999999982,28750.0,53762.49999999946
6,15,2.101,2.101,7.99,3.65,4.240999999999997,9999.0,11398.859999999971
7,18,1.3375,1.3375,4.49,4.49,4.077499999999985,28219.0,49101.05999999956
8,20,1.8399999999999999,1.8399999999999999,8.55,4.39,3.969999999999997,19999.99,22599.988699999947
9,21,1.42,1.42,4.99,4.99,3.8599999999999905,22000.0,31679.999999999796
10,22,1.7774999999999999,1.7774999999999999,7.89,6.25,5.957499999999953,12000.0,38159.99999999944
11,23,1.12,1.12,5.49,3.99,3.8599999999999843,27417.0,47705.579999999565
12,27,1.1399999999999997,1.1399999999999997,5.99,4.75,3.4699999999999926,45387.0,60364.709999999686
13,30,1.12,1.12,4.89,4.25,3.869999999999984,19000.0,33249.999999999694
14,31,1.8375,1.8375,5.39,5.49,3.967499999999997,20000.0,22599.99999999994
15,34,1.2199999999999998,1.2199999999999998,5.15,4.09,3.299999999999998,30000.0,32399.99999999995
16,35,1.1,1.1,4.35,3.99,3.8699999999999837,20000.0,35399.99999999967
17,36,1.2113,1.2113,8.14,3.85,4.081299999999981,14879.0,27823.72999999972
18,39,1.0899999999999999,1.0899999999999999,6.29,4.65,4.239999999999975,25000.0,53749.99999999939
19,43,1.3600000000000003,1.3600000000000003,7.89,4.89,3.469999999999998,55000.0,61049.99999999987
20,46,1.12,1.12,7.99,4.99,4.07999999999998,40000.0,78399.99999999919
21,48,1.3399999999999999,1.3399999999999999,7.89,5.65,5.959999999999944,39000.0,141179.99999999782
22,50,1.8200000000000003,1.8200000000000003,7.89,6.25,5.199999999999971,30000.0,71399.99999999911
23,51,1.2838000000000003,1.2838000000000003,4.99,5.39,3.4637999999999964,53000.0,62539.999999999796
24,53,1.1100000000000003,1.1100000000000003,7.99,4.99,5.95999999999994,18000.0,69299.99999999891
25,54,1.1,1.1,5.99,4.65,3.469999999999992,69999.0,95898.62999999945
26,55,1.8369,1.8369,6.29,5.49,3.966899999999997,28559.0,32271.66999999992
27,57,1.8399999999999999,1.8399999999999999,5.49,5.49,3.8599999999999994,36000.0,36719.999999999985
28,58,1.1413000000000002,1.1413000000000002,5.79,4.49,3.851299999999985,25603.0,43781.12999999961
29,59,1.7888000000000002,1.7888000000000002,4.73,4.75,3.8587999999999987,26636.0,28500.51999999996
30,68,1.0899999999999999,1.0899999999999999,5.99,4.79,3.4699999999999918,39000.0,53819.99999999968
31,69,1.3081,1.3081,5.15,4.49,3.4680999999999966,33847.0,39262.51999999989
32,74,1.12,1.12,5.49,4.25,3.4699999999999926,39500.0,53324.99999999971
33,78,1.6,1.6,10.85,4.59,5.889999999999951,9500.0,31254.999999999534
34,80,1.1100000000000003,1.1100000000000003,7.89,4.49,5.95999999999994,12118.0,46654.29999999926
35,82,1.0274999999999999,1.0274999999999999,4.89,4.75,4.517499999999968,17929.0,44643.20999999943
36,84,1.1,1.1,8.89,4.19,3.859999999999984,28500.0,50159.999999999534
37,85,1.1100000000000003,1.1100000000000003,5.99,5.19,3.4699999999999926,70000.0,95199.99999999948
38,86,1.81,1.81,7.99,6.25,5.199999999999971,27701.0,66205.38999999918
39,87,1.79,1.79,7.89,5.75,5.19999999999997,35000.0,84349.99999999895
40,91,1.3049999999999997,1.3049999999999997,5.15,4.49,3.424999999999997,20000.0,22399.99999999995
41,94,1.3788,1.3788,7.89,5.65,7.4387999999999135,26379.0,133477.73999999772
42,95,1.7800000000000002,1.7800000000000002,4.85,5.49,3.8599999999999985,32000.0,34559.99999999994
43,98,1.1543999999999999,1.1543999999999999,8.09,4.49,4.08439999999998,17499.0,33773.06999999965
44,99,1.0987999999999998,1.0987999999999998,5.69,3.85,3.468799999999992,21574.0,29556.37999999983
45,100,1.1,1.1,6.19,3.99,3.469999999999992,44023.0,60311.509999999646
46,101,1.7888000000000002,1.7888000000000002,6.14,4.75,4.078799999999994,19593.0,25274.969999999877
47,102,1.3600000000000003,1.3600000000000003,5.44,5.65,3.469999999999998,42000.0,46619.9999999999
48,108,1.8106,1.8106,4.85,5.24,3.850599999999999,30000.0,31199.99999999997
