,Number,Cost of Funds,Lower Limit,E-car Rate,Competition Rate,Recommended Rate,Loan Amount,Profit
0,0,1.8200000000000003,1.8200000000000003,7.89,6.25,6.269999999999948,15000.0,51749.999999999214
1,1,1.1100000000000003,1.1100000000000003,7.89,4.49,5.309999999999953,24418.0,78137.59999999886
2,4,1.4225000000000003,1.4225000000000003,7.89,5.75,6.27249999999994,15000.0,57749.99999999908
3,6,1.1075,1.1075,7.89,4.09,5.317499999999953,26000.0,83459.99999999878
4,7,1.12,1.12,7.89,3.75,5.309999999999953,16932.0,54013.079999999216
5,10,1.38,1.38,7.89,5.65,7.489999999999912,11830.0,60451.29999999897
6,11,1.17,1.17,8.29,4.99,6.489999999999929,38152.0,164816.6399999973
7,13,1.8399999999999999,1.8399999999999999,10.85,4.39,6.539999999999942,18000.0,66599.99999999897
8,14,1.12,1.12,7.89,4.25,5.95999999999994,12699.0,48764.15999999923
9,16,1.7999999999999998,1.7999999999999998,7.89,5.49,5.309999999999968,22000.0,55219.99999999929
10,20,1.1100000000000003,1.1100000000000003,7.99,5.19,6.489999999999928,45000.0,197099.99999999677
11,21,1.1,1.1,9.99,4.39,5.3099999999999525,30000.0,96299.99999999859
12,22,1.12,1.12,7.89,4.19,5.309999999999953,15000.0,47849.9999999993
13,23,1.2462999999999997,1.2462999999999997,7.89,4.09,5.316299999999956,24000.0,73679.99999999894
14,24,1.3613,1.3613,7.39,4.39,6.891299999999925,18864.0,85453.91999999859
15,26,1.1,1.1,7.89,4.75,6.489999999999927,17000.0,74629.99999999878
16,30,1.42,1.42,7.89,4.5,5.30999999999996,23499.0,67912.10999999905
17,31,1.0899999999999999,1.0899999999999999,8.09,3.99,5.3099999999999525,32440.0,104456.79999999847
18,32,1.1,1.1,8.09,4.29,5.3099999999999525,20000.0,64199.999999999054
19,33,1.44,1.44,7.89,4.99,6.68999999999993,20728.0,88093.99999999856
20,34,1.3081,1.3081,7.89,5.39,7.4880999999999105,41662.0,215809.15999999628
21,36,1.02,1.02,7.89,4.75,6.26999999999993,30000.0,127499.99999999793
22,37,1.2850000000000001,1.2850000000000001,10.55,4.49,6.544999999999931,17000.0,72419.99999999882
23,38,1.1105999999999998,1.1105999999999998,7.89,3.99,6.060599999999937,17000.0,67149.99999999894
24,39,1.31,1.31,7.89,4.39,5.309999999999958,24772.0,74315.99999999895
25,41,1.1100000000000003,1.1100000000000003,7.89,4.25,5.95999999999994,21904.0,84330.39999999867
26,42,1.3188,1.3188,7.89,4.29,5.318799999999957,29668.0,89003.99999999872
27,43,1.3200000000000003,1.3200000000000003,6.99,4.39,6.539999999999932,26386.0,111348.91999999818
28,44,1.12,1.12,7.99,4.99,6.539999999999927,19600.0,86631.99999999857
29,45,1.1100000000000003,1.1100000000000003,7.89,4.49,5.309999999999953,20000.0,63999.99999999907
30,48,1.8288000000000002,1.8288000000000002,7.89,4.99,6.538799999999942,18542.0,68790.81999999893
31,49,1.1006,1.1006,7.89,4.75,5.310599999999953,27909.0,89587.88999999869
32,50,1.3688000000000002,1.3688000000000002,7.89,4.89,6.988799999999923,16824.0,77726.8799999987
33,51,1.38,1.38,7.89,5.75,7.489999999999912,26602.0,135936.21999999767
34,54,1.3399999999999999,1.3399999999999999,7.89,4.89,5.309999999999958,22000.0,65339.99999999908
35,56,1.3200000000000003,1.3200000000000003,7.89,4.29,5.309999999999958,17500.0,52324.99999999926
36,57,1.33,1.33,10.55,4.49,5.309999999999958,30000.0,89399.99999999873
37,58,1.8399999999999999,1.8399999999999999,7.99,5.49,5.3099999999999685,21919.0,54139.92999999931
38,60,1.1543999999999999,1.1543999999999999,8.39,5.19,6.534399999999928,14000.0,61319.999999998996
39,63,1.12,1.12,7.99,4.99,6.539999999999927,44000.0,194479.9999999968
40,65,1.8113000000000001,1.8113000000000001,7.89,5.49,6.541299999999942,22000.0,82059.99999999872
41,67,1.15,1.15,8.09,4.49,5.309999999999954,15000.0,47399.99999999931
42,68,1.17,1.17,10.44,4.39,5.309999999999954,18979.0,59594.05999999914
43,69,1.12,1.12,7.89,4.19,5.309999999999953,32500.0,103674.99999999849
